iter	Passed	Remaining
411	4081	1862
412	4092	1852
413	4102	1842
414	4112	1833
415	4121	1822
416	4131	1813
417	4142	1803
418	4152	1793
419	4162	1783
420	4171	1773
421	4181	1763
422	4191	1753
423	4201	1744
424	4212	1734
425	4222	1724
426	4232	1714
427	4242	1704
428	4252	1695
429	4262	1685
430	4271	1675
431	4282	1665
432	4291	1655
433	4301	1645
434	4311	1635
435	4321	1625
436	4331	1615
437	4340	1605
438	4350	1595
439	4360	1585
440	4371	1576
441	4381	1566
442	4391	1556
443	4401	1546
444	4411	1536
445	4421	1526
446	4431	1516
447	4441	1506
448	4452	1497
449	4462	1487
450	4472	1477
451	4482	1467
452	4493	1458
453	4502	1447
454	4511	1437
455	4522	1428
456	4533	1418
457	4544	1408
458	4554	1398
459	4564	1389
460	4572	1378
461	4583	1369
462	4593	1359
463	4603	1349
464	4613	1339
465	4625	1329
466	4634	1319
467	4644	1309
468	4654	1300
469	4664	1290
470	4674	1280
471	4684	1270
472	4694	1260
473	4704	1250
474	4713	1240
475	4724	1230
476	4734	1220
477	4745	1211
478	4753	1200
479	4764	1191
480	4774	1181
481	4784	1171
482	4794	1161
483	4805	1151
484	4815	1141
485	4825	1131
486	4835	1122
487	4846	1112
488	4855	1102
489	4865	1092
490	4874	1082
491	4884	1072
492	4895	1062
493	4905	1052
494	4916	1042
495	4925	1032
496	4936	1023
497	4947	1013
498	4957	1003
499	4967	993
500	4978	983
501	4988	973
502	4998	963
503	5008	954
504	5018	944
505	5027	934
506	5038	924
507	5048	914
508	5058	904
509	5069	894
510	5078	884
511	5088	874
512	5098	864
513	5108	854
514	5119	845
515	5129	835
516	5139	825
517	5149	815
518	5160	805
519	5171	795
520	5180	785
521	5191	775
522	5201	765
523	5210	755
524	5220	745
525	5230	735
526	5241	726
527	5251	716
528	5261	706
529	5270	696
530	5281	686
531	5291	676
532	5302	666
533	5311	656
534	5322	646
535	5332	636
536	5341	626
537	5351	616
538	5361	606
539	5371	596
540	5380	586
541	5390	576
542	5400	566
543	5411	557
544	5420	547
545	5431	537
546	5439	527
547	5448	516
548	5458	507
549	5468	497
550	5478	487
551	5487	477
552	5496	467
553	5507	457
554	5517	447
555	5527	437
556	5537	427
557	5548	417
558	5558	407
559	5568	397
560	5577	387
561	5587	377
562	5596	367
563	5607	357
564	5617	347
565	5627	338
566	5636	328
567	5647	318
568	5656	308
569	5667	298
570	5677	288
571	5687	278
572	5697	268
573	5708	258
574	5717	248
575	5727	238
576	5737	228
577	5747	218
578	5756	208
579	5765	198
580	5775	188
581	5785	178
582	5795	168
583	5805	159
584	5814	149
585	5825	139
586	5835	129
587	5845	119
588	5855	109
589	5865	99
590	5875	89
591	5886	79
592	5895	69
593	5905	59
594	5915	49
595	5924	39
596	5934	29
597	5944	19
598	5955	9
599	5966	0
