iter	Logloss
0	0.6618073341
1	0.6344113204
2	0.6105936645
3	0.5888735211
4	0.5705183061
5	0.5547727635
6	0.5407951292
7	0.528002344
8	0.5170007324
9	0.5069536261
10	0.4981277648
11	0.4901116703
12	0.4830404932
13	0.4766963453
14	0.471023923
15	0.4659042731
16	0.4609050817
17	0.4568820577
18	0.4529116506
19	0.4493518452
20	0.4461591254
21	0.4432534911
22	0.4404676245
23	0.4380036905
24	0.4356984825
25	0.433708887
26	0.4318119336
27	0.4300990177
28	0.4285950168
29	0.4271447732
30	0.4257368583
31	0.4242512248
32	0.4230469633
33	0.4218003286
34	0.4206954571
35	0.4196210459
36	0.4185764103
37	0.4176966335
38	0.4168826333
39	0.4158902204
40	0.4151145231
41	0.4143272843
42	0.4135413913
43	0.4127514994
44	0.4121289146
45	0.4112596464
46	0.410687075
47	0.4098854409
48	0.4093324368
49	0.4089336462
50	0.4084909819
51	0.407877874
52	0.4073142795
53	0.4069393307
54	0.4062708613
55	0.4059166589
56	0.4053881392
57	0.4049572555
58	0.4044154985
59	0.4039391263
60	0.403467148
61	0.4028986551
62	0.4024714019
63	0.4022363596
64	0.4017370923
65	0.401262624
66	0.4008694509
67	0.4003825029
68	0.399922478
69	0.3995496017
70	0.3991247951
71	0.3987656054
72	0.3984423196
73	0.3981350415
74	0.3976564713
75	0.3971210034
76	0.3966390974
77	0.3962696895
78	0.3960442265
79	0.3957299186
80	0.3952080329
81	0.394816278
82	0.394539536
83	0.394122666
84	0.393678261
85	0.3933793251
86	0.3929306735
87	0.3924431101
88	0.3920842765
89	0.3918373983
90	0.3914702217
91	0.3912568671
92	0.3908852385
93	0.3904501801
94	0.3901684842
95	0.3899046847
96	0.3895894645
97	0.3892819668
98	0.3890998801
99	0.3886305166
100	0.3883274503
101	0.387958501
102	0.3875679819
103	0.3872055837
104	0.3868725432
105	0.3864664231
106	0.3862829413
107	0.385927459
108	0.3855866463
109	0.3852107661
110	0.3849052909
111	0.3847186508
112	0.3843201484
113	0.3841614529
114	0.383779229
115	0.3834797941
116	0.3831733435
117	0.3827582179
118	0.3822887339
119	0.381945885
120	0.3817124277
121	0.3814972237
122	0.3811517623
123	0.3808518759
124	0.3806657089
125	0.3804312328
126	0.3800655457
127	0.3797558558
128	0.3794439389
129	0.3791794481
130	0.3789305513
131	0.3786615503
132	0.3783419382
133	0.3779623027
134	0.3776921998
135	0.3774715565
136	0.3771932845
137	0.3769216778
138	0.3765843754
139	0.3761721623
140	0.3759568407
141	0.37564416
142	0.3753169538
143	0.3749510554
144	0.374719218
145	0.3744527078
146	0.374147396
147	0.3738861615
148	0.3735474067
149	0.3733762542
150	0.3730610028
151	0.3728433364
152	0.3727267619
153	0.3724043545
154	0.3721341586
155	0.3717510373
156	0.3715102157
157	0.3710466563
158	0.3708814154
159	0.370603071
160	0.3703844743
161	0.3701070671
162	0.3698407586
163	0.3694388984
164	0.3692421979
165	0.3690487471
166	0.3687396869
167	0.3684894135
168	0.368249621
169	0.368069279
170	0.3676896326
171	0.3672979818
172	0.3670107825
173	0.3668464912
174	0.3664346619
175	0.3662100116
176	0.3660841597
177	0.3659170621
178	0.3657043125
179	0.3655450313
180	0.3653152715
181	0.3648421381
182	0.364638095
183	0.3644418484
184	0.3641533586
185	0.3640267764
186	0.363737993
187	0.3635911617
188	0.3632750275
189	0.3627995114
190	0.3624947969
191	0.3622741246
192	0.3619976159
193	0.3617595818
194	0.3613358056
195	0.3610574128
196	0.3607083868
197	0.3604861575
198	0.3601106955
199	0.3598566356
200	0.3596298567
201	0.3595024042
202	0.3591733375
203	0.3588629865
204	0.3586716013
205	0.358421452
206	0.358111993
207	0.3578149639
208	0.3574573608
209	0.3572067234
210	0.3568780283
211	0.3566171374
212	0.356500408
213	0.3562526529
214	0.3560640681
215	0.3558575871
216	0.3555227226
217	0.3551811583
218	0.3548869613
219	0.3546427938
220	0.3544156789
221	0.3541931764
222	0.3537743655
223	0.3535548231
224	0.3533143377
225	0.3530676557
226	0.3529645517
227	0.3528034261
228	0.3525543766
229	0.3521926112
230	0.3520247531
231	0.3517228167
232	0.3515934685
233	0.3513999526
234	0.3509973033
235	0.350625104
236	0.3502391746
237	0.3500002628
238	0.349774118
239	0.3496401403
240	0.3494104953
241	0.3492022653
242	0.3488258318
243	0.3485361232
244	0.3482136672
245	0.3479961181
246	0.3477169077
247	0.347357477
248	0.3470350977
249	0.3467718903
250	0.3465685494
251	0.3464048508
252	0.345925376
253	0.3455302771
254	0.3452657547
255	0.3448709273
256	0.3446292874
257	0.3444251906
258	0.3441507416
259	0.3439268329
260	0.3437384404
261	0.3435197781
262	0.3432582579
263	0.3429555403
264	0.3427599961
265	0.3425440122
266	0.3421290532
267	0.3418942671
268	0.3416561458
269	0.34142707
270	0.3412296308
271	0.3409700464
272	0.3407702925
273	0.3405470825
274	0.3402874528
275	0.3400568104
276	0.3398520822
277	0.3395824864
278	0.3393721144
279	0.3389676124
280	0.3387476976
281	0.3384125207
282	0.3381079925
283	0.3379491412
284	0.3376961678
285	0.3374832135
286	0.3372726438
287	0.3371284914
288	0.3369043235
289	0.3367842619
290	0.3365917658
291	0.336360396
292	0.3361168871
293	0.3359610158
294	0.3358432163
295	0.3356120931
296	0.3354996954
297	0.3353204028
298	0.335217404
299	0.3350213496
300	0.3348345369
301	0.3345550164
302	0.3343650972
303	0.3341327209
304	0.3339477545
305	0.3337420578
306	0.3334769529
307	0.3333459439
308	0.3331084383
309	0.3328568667
310	0.3324209451
311	0.3321885844
312	0.3318594539
313	0.3316905415
314	0.331455514
315	0.3311638406
316	0.3309683676
317	0.3304970917
318	0.330232271
319	0.3300426098
320	0.3298384024
321	0.3296437748
322	0.3293393494
323	0.3291443856
324	0.3289065431
325	0.3287482516
326	0.3284847037
327	0.3282965485
328	0.3280165641
329	0.3278501442
330	0.3276916671
331	0.3274260403
332	0.3272426956
333	0.3270570011
334	0.3268915189
335	0.3266545401
336	0.3264809539
337	0.3262927806
338	0.3261325197
339	0.3259082077
340	0.3257091875
341	0.3254356425
342	0.3252405708
343	0.3249547686
344	0.3247276371
345	0.3244245584
346	0.3241970663
347	0.324029068
348	0.3237835474
349	0.3236168018
350	0.3234191109
351	0.3231606636
352	0.3229317314
353	0.3227212993
354	0.3225745298
355	0.3224253991
356	0.3222102595
357	0.3220390954
358	0.3218902961
359	0.3217068186
360	0.3215263672
361	0.3212684831
362	0.3210585805
363	0.3208456979
364	0.3205861168
365	0.3203997356
366	0.3201386157
367	0.3199794943
368	0.3198378336
369	0.3196011607
370	0.3193212258
371	0.3191398007
372	0.3188734452
373	0.3185701166
374	0.3184258814
375	0.3182692718
376	0.318107695
377	0.3179551182
378	0.3177196419
379	0.3175106983
380	0.3173032632
381	0.3171250393
382	0.3168284327
383	0.316542234
384	0.3163772499
385	0.3162038031
386	0.3160123237
387	0.315833014
388	0.315708179
389	0.3154515613
390	0.3151695257
391	0.3150466982
392	0.3148778305
393	0.3146827693
394	0.3145867125
395	0.3145245778
396	0.3143491769
397	0.3141607301
398	0.3140284761
399	0.3138399031
400	0.3136565473
401	0.3134773512
402	0.313222119
403	0.3130562025
404	0.3128590648
405	0.3126394106
406	0.3124538932
407	0.3123149009
408	0.3121125642
409	0.3119133645
410	0.3116768191
411	0.3114821211
412	0.3113404695
413	0.3112174794
414	0.3110628432
415	0.3108663662
416	0.3107230502
417	0.3105394912
418	0.3103928982
419	0.3102633227
420	0.3101292299
421	0.3100209611
422	0.3099178175
423	0.3097223818
424	0.3094894328
425	0.3093143764
426	0.3091676336
427	0.3090434896
428	0.3089338498
429	0.3087688721
430	0.3086619759
431	0.3085030232
432	0.3083247465
433	0.3081931539
434	0.3080119495
435	0.307852518
436	0.3077167637
437	0.3075977684
438	0.3074668672
439	0.3072917187
440	0.3071435461
441	0.3070430251
442	0.3068908396
443	0.3067191542
444	0.3066423976
445	0.3065185397
446	0.306401452
447	0.3062927043
448	0.3060660268
449	0.3059218602
450	0.3057217812
451	0.3055642414
452	0.3053401145
453	0.3052008988
454	0.3050195094
455	0.3048058407
456	0.3045590216
457	0.3043510014
458	0.3042085347
459	0.30399763
460	0.3039261729
461	0.3037649308
462	0.3036153915
463	0.3035248282
464	0.3033807382
465	0.3032203548
466	0.3030781833
467	0.3029761586
468	0.3028302903
469	0.3026847014
470	0.3025623471
471	0.3023442971
472	0.3021999067
473	0.3020203945
474	0.3019180402
475	0.3017878228
476	0.3015761651
477	0.3014354305
478	0.3013143868
479	0.301172326
480	0.300909997
481	0.3006506773
482	0.3004981855
483	0.3003058002
484	0.3001644782
485	0.3000118044
486	0.2997591038
487	0.2996648988
488	0.2994691696
489	0.2993750822
490	0.2992407068
491	0.2990814323
492	0.2989461332
493	0.2987840446
494	0.2985965892
495	0.2984620302
496	0.2982564509
497	0.2979833493
498	0.297842617
499	0.2976524295
500	0.2973594995
501	0.2972279514
502	0.2970178345
503	0.2968221422
504	0.2967081768
505	0.2965730076
506	0.2963835503
507	0.2961471414
508	0.2959638486
509	0.2957979769
510	0.2956373113
511	0.2954831751
512	0.2953574732
513	0.2951982874
514	0.2950142047
515	0.2949160203
516	0.2947371157
517	0.2946187951
518	0.2944709472
